index	prediction
0	0
1	1
2	0
3	1
4	1
5	0
6	1
7	1
8	0
9	0
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	0
21	1
22	1
23	0
24	0
25	0
26	0
27	1
28	1
29	1
30	0
31	1
32	0
33	1
34	0
35	0
36	1
37	1
38	1
39	0
40	1
41	0
42	1
43	0
44	1
45	1
46	0
47	1
48	0
49	0
50	1
51	0
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	0
61	1
62	1
63	0
64	1
65	1
66	1
67	0
68	1
69	0
70	1
71	1
72	1
73	0
74	1
75	0
76	1
77	1
78	1
79	0
80	0
81	1
82	1
83	0
84	1
85	1
86	1
87	0
88	0
89	0
90	0
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	0
100	1
101	1
102	1
103	1
104	1
105	1
106	0
107	1
108	1
109	1
110	1
111	0
112	0
113	0
114	1
115	1
116	0
117	1
118	0
119	1
120	1
121	1
122	1
123	1
124	1
125	0
126	1
127	0
128	1
129	1
130	1
131	1
132	1
133	1
134	0
135	1
136	1
137	1
138	0
139	1
140	1
141	0
142	1
143	1
144	1
145	0
146	1
147	1
148	0
149	0
150	1
151	1
152	1
153	1
154	0
155	0
156	0
157	1
158	1
159	0
160	1
161	1
162	0
163	1
164	1
165	0
166	1
167	1
168	0
169	0
170	1
171	1
172	1
173	0
174	0
175	0
176	1
177	1
178	1
179	1
180	0
181	0
182	1
183	0
184	0
185	1
186	0
187	0
188	0
189	0
190	1
191	0
192	1
193	1
194	1
195	0
196	0
197	0
198	0
199	1
200	1
201	1
202	1
203	1
204	0
205	0
206	1
207	1
208	1
209	0
210	1
211	0
212	0
213	1
214	0
215	1
216	0
217	0
218	1
219	0
220	0
221	1
222	0
223	1
224	1
225	1
226	1
227	0
228	1
229	1
230	0
231	0
232	0
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	0
241	1
242	0
243	0
244	0
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	0
253	0
254	0
255	1
256	1
257	1
258	1
259	1
260	1
261	0
262	1
263	0
264	1
265	1
266	1
267	0
268	1
269	1
270	1
271	1
272	0
273	1
274	0
275	0
276	0
277	1
278	1
279	1
280	0
281	1
282	1
283	1
284	1
285	1
286	0
287	1
288	1
289	0
290	0
291	1
292	0
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	0
303	0
304	1
305	1
306	0
307	0
308	0
309	0
310	1
311	0
312	1
313	1
314	0
315	1
316	1
317	1
318	1
319	1
320	0
321	1
322	0
323	0
324	1
325	0
326	1
327	1
328	1
329	1
330	1
331	1
332	0
333	0
334	1
335	1
336	0
337	1
338	1
339	0
340	1
341	1
342	1
343	0
344	1
345	1
346	1
347	1
348	1
349	0
350	1
351	0
352	1
353	1
354	0
355	1
356	0
357	1
358	1
359	0
360	1
361	1
362	0
363	1
364	1
365	1
366	0
367	0
368	1
369	1
370	1
371	0
372	1
373	1
374	0
375	1
376	1
377	1
378	0
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	0
388	1
389	1
390	1
391	0
392	1
393	0
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	0
402	1
403	0
404	0
405	0
406	1
407	0
408	0
409	1
410	1
411	0
412	1
413	0
414	1
415	1
416	1
417	1
418	1
419	0
420	1
421	1
422	1
423	0
424	0
425	1
426	1
427	0
428	1
429	1
430	1
431	1
432	1
433	1
434	1
435	0
436	0
437	0
438	1
439	0
440	1
441	1
442	1
443	1
444	1
445	0
446	1
447	0
448	1
449	1
450	0
451	0
452	1
453	0
454	1
455	0
456	0
457	1
458	1
459	1
460	0
461	1
462	1
463	1
464	1
465	0
466	1
467	1
468	0
469	1
470	1
471	1
472	1
473	0
474	1
475	1
476	1
477	0
478	1
479	0
480	1
481	1
482	1
483	1
484	1
485	0
486	1
487	1
488	0
489	0
490	1
491	1
492	0
493	1
494	0
495	0
496	0
497	1
498	1
499	1
500	0
501	1
502	1
503	1
504	0
505	0
506	1
507	1
508	0
509	1
510	1
511	1
512	1
513	1
514	0
515	0
516	1
517	1
518	1
519	1
520	1
521	1
522	1
523	0
524	1
525	0
526	1
527	0
528	1
529	0
530	1
531	1
532	0
533	1
534	1
535	0
536	1
537	1
538	0
539	0
540	1
541	0
542	1
543	1
544	0
545	0
546	0
547	1
548	1
549	0
550	0
551	1
552	0
553	0
554	0
555	1
556	0
557	0
558	0
559	0
560	1
561	0
562	1
563	1
564	1
565	1
566	1
567	1
568	0
569	1
570	1
571	1
572	1
573	1
574	1
575	0
576	1
577	1
578	0
579	1
580	1
581	1
582	1
583	1
584	1
585	1
586	0
587	1
588	1
589	1
590	1
591	1
592	1
593	0
594	1
595	1
596	1
597	1
598	1
599	0
600	0
601	1
602	1
603	1
604	1
605	1
606	0
607	1
608	0
609	0
610	1
611	0
612	0
613	1
614	0
615	1
616	1
617	0
618	0
619	1
620	0
621	1
622	1
623	0
624	0
625	0
626	1
627	1
628	0
629	1
630	0
631	1
632	1
633	1
634	1
635	1
636	0
637	0
638	0
639	1
640	1
641	0
642	1
643	1
644	0
645	1
646	0
647	0
648	1
649	1
650	1
651	0
652	0
653	1
654	1
655	1
656	1
657	1
658	0
659	1
660	1
661	1
662	0
663	0
664	1
665	0
666	0
667	0
668	0
669	1
670	0
671	1
672	1
673	1
674	1
675	0
676	1
677	0
678	1
679	1
680	0
681	1
682	1
683	0
684	0
685	1
686	1
687	0
688	1
689	1
690	0
691	0
692	1
693	1
694	1
695	1
696	1
697	0
698	1
699	1
700	1
701	1
702	1
703	1
704	0
705	1
706	1
707	0
708	1
709	0
710	0
711	1
712	1
713	1
714	1
715	1
716	0
717	1
718	1
719	0
720	0
721	1
722	1
723	1
724	1
725	1
726	1
727	0
728	0
729	0
730	1
731	0
732	0
733	0
734	1
735	1
736	0
737	1
738	0
739	1
740	1
741	0
742	1
743	1
744	1
745	1
746	1
747	0
748	1
749	1
750	0
751	1
752	0
753	0
754	0
755	0
756	0
757	1
758	1
759	1
760	0
761	1
762	1
763	1
764	1
765	1
766	1
767	1
768	0
769	1
770	0
771	1
772	1
773	0
774	1
775	1
776	1
777	1
778	1
779	1
780	1
781	0
782	1
783	1
784	1
785	1
786	1
787	1
788	0
789	1
790	0
791	0
792	1
793	1
794	1
795	1
796	0
797	1
798	1
799	0
800	1
801	1
802	1
803	1
804	1
805	1
806	1
807	0
808	0
809	1
810	0
811	0
812	1
813	0
814	0
815	1
816	1
817	0
818	1
819	0
820	1
821	1
822	1
823	0
824	1
825	1
826	0
827	1
828	0
829	1
830	0
831	0
832	1
833	1
834	0
835	1
836	1
837	1
838	1
839	0
840	0
841	1
842	1
843	0
844	1
845	1
846	0
847	1
848	0
849	0
850	0
851	1
852	1
853	1
854	0
855	0
856	0
857	1
858	1
859	1
860	1
861	0
862	1
863	1
864	1
865	0
866	1
867	0
868	1
869	1
870	1
871	1
872	1
873	1
874	0
875	1
876	1
877	1
878	0
879	1
880	0
881	1
882	0
883	1
884	1
885	1
886	0
887	1
888	1
889	1
890	0
891	0
892	1
893	1
894	1
895	1
896	0
897	1
898	1
899	0
900	1
901	1
902	1
903	1
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	1
912	0
913	0
914	1
915	1
916	0
917	1
918	0
919	1
920	0
921	0
922	1
923	1
924	1
925	1
926	0
927	1
928	1
929	1
930	1
931	1
932	0
933	0
934	1
935	0
936	0
937	0
938	1
939	0
940	1
941	1
942	1
943	1
944	0
945	1
946	1
947	1
948	0
949	0
950	1
951	1
952	1
953	0
954	1
955	1
956	1
957	1
958	0
959	1
960	0
961	1
962	1
963	1
964	0
965	1
966	0
967	0
968	1
969	1
970	1
971	1
972	0
973	1
974	1
975	0
976	1
977	1
978	0
979	0
980	1
981	0
982	1
983	1
984	0
985	0
986	0
987	0
988	1
989	1
990	0
991	1
992	1
993	1
994	0
995	0
996	0
997	1
998	1
999	0
1000	0
1001	1
1002	1
1003	1
1004	1
1005	1
1006	1
1007	1
1008	1
1009	0
1010	0
1011	1
1012	0
1013	1
1014	1
1015	1
1016	1
1017	1
1018	1
1019	1
1020	1
1021	1
1022	1
1023	1
1024	1
1025	1
1026	0
1027	1
1028	1
1029	1
1030	1
1031	1
1032	1
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1039	0
1040	0
1041	1
1042	1
1043	1
1044	0
1045	0
1046	1
1047	0
1048	0
1049	1
1050	1
1051	1
1052	1
1053	1
1054	0
1055	1
1056	0
1057	1
1058	1
1059	0
1060	1
